,pipeline,aggregation,batchLen,memory,timePerBatch,costPerBatch,BatcherCost,CollectorCost,noOfBatch,timeTotal,AllBatchCost,costTotal
45,step-agg-c-s-m-b-r-w-150Sec-batch,c-s-m-b-r-w,150,least_cost,512.4579616666666,0.008609344800000002,0.00022083600000000002,0.0027166944,4.0,2049.8318466666665,0.03443737920000001,0.037374909600000006
46,step-agg-c-s-m-b-r-w-150Sec-batch,c-s-m-b-r-w,150,least_time,110.93783666666666,0.014910604800000001,,,4.0,443.7513466666666,0.059642419200000005,
47,step-agg-c-s-mbrw-150Sec-batch,c-s-mbrw,150,1024,508.6552049999999,0.008545420800000002,0.00022083600000000002,0.0027989136000000003,4.0,2034.6208199999996,0.03418168320000001,0.03720143280000001
48,step-agg-c-s-mbrw-150Sec-batch,c-s-mbrw,150,2048,249.89387944444445,0.0083965056,0.00037978080000000003,0.0027166944,4.0,999.5755177777778,0.0335860224,0.036682497599999996
49,step-agg-c-s-mbrw-150Sec-batch,c-s-mbrw,150,4096,139.18290277777777,0.009353164800000001,0.000718704,0.0030509472,4.0,556.7316111111111,0.037412659200000004,0.041182310400000005
50,step-agg-c-s-mbrw-150Sec-batch,c-s-mbrw,150,8192,104.78193666666667,0.014082969600000002,0.0014855232000000002,0.0047972736000000005,4.0,419.12774666666667,0.05633187840000001,0.06261467520000001
51,step-agg-c-s-mbrw-150Sec-batch,c-s-mbrw,150,least_cost,249.89387944444445,0.0083965056,0.00022083600000000002,0.0027166944,4.0,999.5755177777778,0.0335860224,0.0365235528
52,step-agg-c-s-mbrw-150Sec-batch,c-s-mbrw,150,least_time,104.78193666666667,0.014082969600000002,,,4.0,419.12774666666667,0.05633187840000001,
53,step-agg-c-s-mb-rw-150Sec-batch,c-s-mb-rw,150,1024,507.7933255555556,0.008530956000000001,0.00022083600000000002,0.0027989136000000003,4.0,2031.1733022222224,0.034123824000000004,0.03714357360000001
54,step-agg-c-s-mb-rw-150Sec-batch,c-s-mb-rw,150,2048,250.63648833333332,0.0084214704,0.00037978080000000003,0.0027166944,4.0,1002.5459533333333,0.0336858816,0.0367823568
55,step-agg-c-s-mb-rw-150Sec-batch,c-s-mb-rw,150,4096,138.72492055555557,0.0093223872,0.000718704,0.0030509472,4.0,554.8996822222223,0.0372895488,0.041059200000000004
56,step-agg-c-s-mb-rw-150Sec-batch,c-s-mb-rw,150,8192,104.38902055555555,0.0140301504,0.0014855232000000002,0.0047972736000000005,4.0,417.5560822222222,0.0561206016,0.0624033984
57,step-agg-c-s-mb-rw-150Sec-batch,c-s-mb-rw,150,least_cost,250.63648833333332,0.0084214704,0.00022083600000000002,0.0027166944,4.0,1002.5459533333333,0.0336858816,0.036623412
58,step-agg-c-s-mb-rw-150Sec-batch,c-s-mb-rw,150,least_time,104.38902055555555,0.0140301504,,,4.0,417.5560822222222,0.0561206016,
59,step-agg-c-smbrw-150Sec-batch,c-smbrw,150,1024,420.984915,0.0070725648,0.00022083600000000002,0.0027989136000000003,4.0,1683.93966,0.0282902592,0.0313100088
60,step-agg-c-smbrw-150Sec-batch,c-smbrw,150,2048,207.97966333333335,0.006988128000000001,0.00037978080000000003,0.0027166944,4.0,831.9186533333334,0.027952512000000002,0.031048987200000003
61,step-agg-c-smbrw-150Sec-batch,c-smbrw,150,4096,118.69054722222222,0.0079761024,0.000718704,0.0030509472,4.0,474.7621888888889,0.0319044096,0.035674060800000004
62,step-agg-c-smbrw-150Sec-batch,c-smbrw,150,8192,90.74673944444444,0.012196531200000001,0.0014855232000000002,0.0047972736000000005,4.0,362.9869577777778,0.048786124800000004,0.0550689216
63,step-agg-c-smbrw-150Sec-batch,c-smbrw,150,least_cost,207.97966333333335,0.006988128000000001,0.00022083600000000002,0.0027166944,4.0,831.9186533333334,0.027952512000000002,0.0308900424
64,step-agg-c-smbrw-150Sec-batch,c-smbrw,150,least_time,90.74673944444444,0.012196531200000001,,,4.0,362.9869577777778,0.048786124800000004,
65,step-agg-csmbrw-300Sec-batch,csmbrw,300,2048,454.64076055555546,0.015275937600000001,0.0002996448,0.0026950224,2.0,909.2815211111109,0.030551875200000002,0.033546542400000004
66,step-agg-csmbrw-300Sec-batch,csmbrw,300,4096,253.94096333333326,0.017064835200000003,0.0005345088,0.0029803872,2.0,507.8819266666665,0.034129670400000006,0.03764456640000001
67,step-agg-csmbrw-300Sec-batch,csmbrw,300,8192,190.07635222222223,0.025546348800000004,0.0012815040000000001,0.004628467200000001,2.0,380.15270444444445,0.05109269760000001,0.05700266880000001
68,step-agg-csmbrw-300Sec-batch,csmbrw,300,least_cost,454.64076055555546,0.015275937600000001,0.0001425648,0.0026950224,2.0,909.2815211111109,0.030551875200000002,0.0333894624
69,step-agg-csmbrw-300Sec-batch,csmbrw,300,least_time,190.07635222222223,0.025546348800000004,,,2.0,380.15270444444445,0.05109269760000001,
